weights_str,w0,w1,w2,reg_ip,mae_ERA,mae_WHIP
7/2/3,7,2,3,200,0.74127,0.13997
6/1/1,6,1,1,300,0.74131,0.13948
7/2/4,7,2,4,200,0.74189,0.13993
8/5/1,8,5,1,200,0.74202,0.1397
7/1/4,7,1,4,300,0.74222,0.13987
8/1/2,8,1,2,400,0.74237,0.13957
7/1/3,7,1,3,300,0.7424,0.14006
6/2/1,6,2,1,200,0.74289,0.13995
7/1/2,7,1,2,300,0.74297,0.13992
8/1/1,8,1,1,400,0.74359,0.14036
7/2/2,7,2,2,200,0.74427,0.14059
8/3/2,8,3,2,200,0.74457,0.14039
7/3/1,7,3,1,200,0.74492,0.14018
5/1/1,5,1,1,200,0.74547,0.14006
